action,price,reason,shares,ticker
buy,187.6199951171875,,10659,NVDA
sell,175.02000427246094,end,10659,NVDA
buy,710.5599975585938,,1407,META
sell,666.469970703125,ma200_break,1407,META
buy,673.4199829101562,,1484,META
sell,666.7999877929688,ma200_break,1484,META
buy,245.35000610351562,,6113,GOOGL
sell,309.2900085449219,end,6113,GOOGL
buy,258.0199890136719,,5813,AAPL
sell,278.2799987792969,end,5813,AAPL
buy,517.3499755859375,,2899,MSFT
sell,478.5299987792969,end,2899,MSFT
buy,429.8299865722656,,1163,TSLA
sell,458.9599914550781,end,1163,TSLA
